,Date,CountryCode,CountryName,Population,prevalence_rolling_b.1,prevalence_rolling14_b.1,prevalence_gaussian5_b.1,prevalence_gaussian10_b.1,prevalence_rolling_b.1.1.519,prevalence_rolling14_b.1.1.519,prevalence_gaussian5_b.1.1.519,prevalence_gaussian10_b.1.1.519,prevalence_rolling_b.1.1.7,prevalence_rolling14_b.1.1.7,prevalence_gaussian5_b.1.1.7,prevalence_gaussian10_b.1.1.7,prevalence_rolling_b.1.2,prevalence_rolling14_b.1.2,prevalence_gaussian5_b.1.2,prevalence_gaussian10_b.1.2,prevalence_rolling_b.1.427,prevalence_rolling14_b.1.427,prevalence_gaussian5_b.1.427,prevalence_gaussian10_b.1.427,prevalence_rolling_b.1.526,prevalence_rolling14_b.1.526,prevalence_gaussian5_b.1.526,prevalence_gaussian10_b.1.526,prevalence_rolling_b.1.617.2,prevalence_rolling14_b.1.617.2,prevalence_gaussian5_b.1.617.2,prevalence_gaussian10_b.1.617.2,prevalence_rolling_b.1.621,prevalence_rolling14_b.1.621,prevalence_gaussian5_b.1.621,prevalence_gaussian10_b.1.621,prevalence_rolling_c.2.1,prevalence_rolling14_c.2.1,prevalence_gaussian5_c.2.1,prevalence_gaussian10_c.2.1,prevalence_rolling_other,prevalence_rolling14_other,prevalence_gaussian5_other,prevalence_gaussian10_other,prevalence_rolling_p.1,prevalence_rolling14_p.1,prevalence_gaussian5_p.1,prevalence_gaussian10_p.1,prevalence_rolling_b.1.1,prevalence_rolling14_b.1.1,prevalence_gaussian5_b.1.1,prevalence_gaussian10_b.1.1
92554,1/1/2020,USA,United States,331002647,,,0,0,,,,,,,0,0,,,0,9.09E-06,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,0.000788683,,,0,0,,,0,0
92555,1/2/2020,USA,United States,331002647,,,0,0,,,,,,,0,0,,,0,1.25E-05,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,0.00086126,,,0,0,,,0,0
92556,1/3/2020,USA,United States,331002647,,,0,0,,,,,,,0,0,,,0,1.98E-05,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,0.001010533,,,0,0,,,0,0
92557,1/4/2020,USA,United States,331002647,,,0,0,,,,,,,0,0,,,0,3.19E-05,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,0.001244111,,,0,0,,,0,0
92558,1/5/2020,USA,United States,331002647,,,0,0,,,,,,,0,0,,,0,4.94E-05,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,0.001574362,,,0,0,,,0,0
92559,1/6/2020,USA,United States,331002647,,,0,0,,,,,,,0,0,,,0,7.42E-05,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,0.002016733,,,0,0,,,0,0
92560,1/7/2020,USA,United States,331002647,,,0,0,,,,,,,0,0,,,0,0.000108878,,,0,0,,,0,0,,,0,0,,,,,,,,,,,0,0.002590835,,,0,0,,,0,0
92561,1/8/2020,USA,United States,331002647,,,0,0,,,,,,,0,0,,,0,0.000157111,,,0,0,,,0,0,,,0,0,,,,,,,,,,,1.53E-06,0.003320451,,,0,0,,,0,0
92562,1/9/2020,USA,United States,331002647,,,0,0,,,,,,,0,0,,,0,0.000223425,,,0,0,,,0,0,,,0,0,,,,,,,,,,,5.58E-06,0.004233984,,,0,0,,,0,0
92563,1/10/2020,USA,United States,331002647,,,0,0,,,,,,,0,0,,,0,0.000313695,,,0,0,,,0,0,,,0,0,,,,,,,,,,,1.48E-05,0.005363383,,,0,0,,,0,0
